,time,rhoeq_decoy
8502,17004.0,994.523254
8503,17006.0,995.0979
8504,17008.0,995.450562
8505,17010.0,995.342773
8506,17012.0,994.891724
8507,17014.0,994.114258
8508,17016.0,993.371155
8509,17018.0,993.215515
8510,17020.0,993.396606
8511,17022.0,993.470276
8512,17024.0,993.813232
8513,17026.0,994.107483
8514,17028.0,994.36377
8515,17030.0,994.494202
8516,17032.0,994.587402
8517,17034.0,994.512817
8518,17036.0,994.042969
8519,17038.0,993.607361
8520,17040.0,993.158142
8521,17042.0,993.131958
8522,17044.0,993.55011
8523,17046.0,993.942078
8524,17048.0,994.178833
8525,17050.0,994.237
8526,17052.0,994.452515
8527,17054.0,994.753601
8528,17056.0,995.110779
8529,17058.0,995.240845
8530,17060.0,994.962036
8531,17062.0,994.122925
8532,17064.0,993.310425
8533,17066.0,993.092285
8534,17068.0,992.914307
8535,17070.0,992.752808
8536,17072.0,992.824036
8537,17074.0,992.809875
8538,17076.0,992.958069
8539,17078.0,993.638794
8540,17080.0,994.285461
8541,17082.0,994.623291
8542,17084.0,994.639832
8543,17086.0,994.588318
8544,17088.0,994.367676
8545,17090.0,993.961182
8546,17092.0,993.314575
8547,17094.0,992.887634
8548,17096.0,992.990112
8549,17098.0,993.674683
8550,17100.0,994.33844
8551,17102.0,994.872559
8552,17104.0,995.385681
8553,17106.0,995.218811
8554,17108.0,994.40033
8555,17110.0,993.590698
8556,17112.0,993.019348
8557,17114.0,992.713684
8558,17116.0,992.726868
8559,17118.0,992.781128
8560,17120.0,993.15741
8561,17122.0,993.963501
8562,17124.0,994.754761
8563,17126.0,995.290161
8564,17128.0,995.223816
8565,17130.0,994.348511
8566,17132.0,993.291321
8567,17134.0,992.789368
8568,17136.0,992.526489
8569,17138.0,992.65448
8570,17140.0,993.335815
8571,17142.0,993.942627
8572,17144.0,994.432251
8573,17146.0,994.821228
8574,17148.0,995.238708
8575,17150.0,995.162292
8576,17152.0,994.850708
8577,17154.0,994.370361
8578,17156.0,993.89679
8579,17158.0,993.228455
8580,17160.0,992.666748
8581,17162.0,992.802063
8582,17164.0,993.324158
8583,17166.0,993.779724
8584,17168.0,994.403076
8585,17170.0,994.667297
8586,17172.0,994.454712
8587,17174.0,994.172546
8588,17176.0,993.770935
8589,17178.0,993.649109
8590,17180.0,993.661316
8591,17182.0,993.626038
8592,17184.0,993.803589
8593,17186.0,994.071167
8594,17188.0,994.307007
8595,17190.0,994.252625
8596,17192.0,993.890015
8597,17194.0,993.612
8598,17196.0,993.295349
8599,17198.0,993.080017
8600,17200.0,993.055115
8601,17202.0,993.37085
8602,17204.0,993.964417
8603,17206.0,994.531433
8604,17208.0,994.954224
8605,17210.0,995.034302
8606,17212.0,994.744629
8607,17214.0,994.607666
8608,17216.0,994.613586
8609,17218.0,994.350769
8610,17220.0,993.851685
8611,17222.0,993.702759
8612,17224.0,993.943237
8613,17226.0,994.334412
8614,17228.0,994.545471
8615,17230.0,994.434265
8616,17232.0,994.276855
8617,17234.0,994.275024
8618,17236.0,994.193665
8619,17238.0,994.006653
8620,17240.0,993.856689
8621,17242.0,993.776306
8622,17244.0,993.835876
8623,17246.0,993.998413
8624,17248.0,994.254089
8625,17250.0,994.225891
8626,17252.0,993.954163
8627,17254.0,993.54895
8628,17256.0,993.285461
8629,17258.0,993.288147
8630,17260.0,993.590698
8631,17262.0,994.26178
8632,17264.0,994.982544
8633,17266.0,995.776367
8634,17268.0,996.25769
8635,17270.0,996.075012
8636,17272.0,995.44928
8637,17274.0,994.470703
8638,17276.0,993.299072
8639,17278.0,992.329773
8640,17280.0,991.615662
8641,17282.0,991.500549
8642,17284.0,991.955994
8643,17286.0,993.065063
8644,17288.0,994.132446
8645,17290.0,994.726379
8646,17292.0,995.100159
8647,17294.0,995.060974
8648,17296.0,994.766663
8649,17298.0,994.405945
8650,17300.0,994.173889
8651,17302.0,993.767456
8652,17304.0,993.585144
8653,17306.0,993.574524
8654,17308.0,993.723083
8655,17310.0,994.055908
8656,17312.0,994.35022
8657,17314.0,994.639954
8658,17316.0,994.931213
8659,17318.0,994.904541
8660,17320.0,994.652344
8661,17322.0,994.092041
8662,17324.0,993.689941
8663,17326.0,993.570435
8664,17328.0,993.671692
8665,17330.0,994.114258
8666,17332.0,994.55011
8667,17334.0,994.773682
8668,17336.0,994.671387
8669,17338.0,994.316711
8670,17340.0,993.837097
8671,17342.0,993.273743
8672,17344.0,993.070312
8673,17346.0,993.008179
8674,17348.0,993.161499
8675,17350.0,993.83606
8676,17352.0,994.639038
8677,17354.0,995.468811
8678,17356.0,995.898987
8679,17358.0,995.477051
8680,17360.0,994.611511
8681,17362.0,993.867493
8682,17364.0,993.390442
8683,17366.0,992.890747
8684,17368.0,992.612488
8685,17370.0,992.561707
8686,17372.0,993.306335
8687,17374.0,994.556091
8688,17376.0,995.732605
8689,17378.0,996.202637
8690,17380.0,996.034363
8691,17382.0,994.991394
8692,17384.0,993.730591
8693,17386.0,992.86322
8694,17388.0,992.579102
8695,17390.0,992.791199
8696,17392.0,993.429382
8697,17394.0,994.235168
8698,17396.0,994.886353
8699,17398.0,995.573914
8700,17400.0,996.0224
8701,17402.0,995.876526
8702,17404.0,994.819946
8703,17406.0,993.604431
8704,17408.0,992.960693
8705,17410.0,992.47229
8706,17412.0,992.433594
8707,17414.0,992.930603
8708,17416.0,993.804565
8709,17418.0,995.091797
8710,17420.0,996.183899
8711,17422.0,996.773865
8712,17424.0,996.838257
8713,17426.0,996.463989
8714,17428.0,995.527771
8715,17430.0,994.354736
8716,17432.0,992.890747
8717,17434.0,991.702576
8718,17436.0,991.227234
8719,17438.0,991.659424
8720,17440.0,992.800476
8721,17442.0,994.050842
8722,17444.0,995.360779
8723,17446.0,996.015686
8724,17448.0,996.138428
8725,17450.0,995.952087
8726,17452.0,995.16748
8727,17454.0,993.971069
8728,17456.0,992.693665
8729,17458.0,991.681885
8730,17460.0,991.034424
8731,17462.0,991.034973
8732,17464.0,992.037048
8733,17466.0,993.729553
8734,17468.0,995.172974
8735,17470.0,995.86438
8736,17472.0,995.952698
8737,17474.0,995.563904
8738,17476.0,994.903564
8739,17478.0,993.885498
8740,17480.0,992.811096
8741,17482.0,992.15509
8742,17484.0,992.335693
8743,17486.0,993.189514
8744,17488.0,994.106201
8745,17490.0,994.715271
8746,17492.0,995.062378
8747,17494.0,995.261597
8748,17496.0,995.074951
8749,17498.0,994.574158
8750,17500.0,993.947449
8751,17502.0,993.183777
8752,17504.0,992.820679
8753,17506.0,992.883301
8754,17508.0,993.223083
8755,17510.0,993.834351
8756,17512.0,994.324951
8757,17514.0,994.542664
8758,17516.0,994.37146
8759,17518.0,994.097961
8760,17520.0,993.735107
8761,17522.0,993.387451
8762,17524.0,993.214905
8763,17526.0,993.414673
8764,17528.0,993.886047
8765,17530.0,994.259094
8766,17532.0,994.728027
8767,17534.0,995.236877
8768,17536.0,995.39978
8769,17538.0,995.192139
8770,17540.0,994.583984
8771,17542.0,993.799194
8772,17544.0,993.183533
8773,17546.0,992.762146
8774,17548.0,992.694031
8775,17550.0,993.272827
8776,17552.0,994.483032
8777,17554.0,995.465027
8778,17556.0,995.750977
8779,17558.0,995.550476
8780,17560.0,994.955322
8781,17562.0,994.088562
8782,17564.0,993.333557
8783,17566.0,992.725342
8784,17568.0,992.647461
8785,17570.0,993.086487
8786,17572.0,993.65448
8787,17574.0,994.303711
8788,17576.0,994.803223
8789,17578.0,995.06427
8790,17580.0,994.840332
8791,17582.0,994.413269
8792,17584.0,994.081055
8793,17586.0,993.86676
8794,17588.0,993.437439
8795,17590.0,993.280151
8796,17592.0,993.434448
8797,17594.0,993.879395
8798,17596.0,994.53009
8799,17598.0,994.724915
8800,17600.0,994.875854
8801,17602.0,994.876221
8802,17604.0,994.786804
8803,17606.0,994.437622
8804,17608.0,993.834778
8805,17610.0,993.024475
8806,17612.0,992.400452
8807,17614.0,992.39032
8808,17616.0,992.638916
8809,17618.0,993.359985
