,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
121,208.csv : ,1,-9.80,-8.79,16,28
269,341.csv : ,1,-9.81,-9.66,42,20
456,91.csv : ,1,-9.81,-9.48,10,15
463,98.csv : ,1,-9.81,-9.04,32,29
311,38.csv : ,1,-9.81,-9.22,5,25
283,354.csv : ,1,-9.82,-9.27,7,7
280,351.csv : ,1,-9.82,-9.17,14,49
314,382.csv : ,1,-9.82,-9.12,15,45
40,135.csv : ,1,-9.83,-8.45,11,15
347,411.csv : ,1,-9.83,-9.60,21,28
407,47.csv : ,1,-9.84,-8.74,5,19
464,99.csv : ,1,-9.84,-8.83,37,40
134,22.csv : ,1,-9.84,-9.08,32,26
301,370.csv : ,1,-9.85,-8.54,5,35
428,66.csv : ,1,-9.85,-9.51,2,21
7,105.csv : ,1,-9.85,-9.37,8,33
229,305.csv : ,1,-9.86,-8.94,12,49
214,292.csv : ,1,-9.86,-9.39,8,4
307,376.csv : ,1,-9.86,-9.23,32,37
223,30.csv : ,1,-9.87,-9.64,11,49
215,293.csv : ,1,-9.89,-9.14,5,42
22,119.csv : ,1,-9.89,-9.03,28,34
325,392.csv : ,1,-9.90,-9.26,27,3
152,236.csv : ,1,-9.90,-9.35,9,48
306,375.csv : ,1,-9.91,-9.34,33,47
153,237.csv : ,1,-9.93,-9.39,5,30
50,144.csv : ,1,-9.93,-9.20,19,50
102,191.csv : ,1,-9.94,-9.07,19,18
91,181.csv : ,1,-9.94,-9.12,24,24
5,103.csv : ,1,-9.94,-9.12,18,3
375,437.csv : ,1,-9.95,-9.85,42,4
211,29.csv : ,1,-9.95,-9.08,23,49
457,92.csv : ,1,-9.95,-9.33,3,10
324,391.csv : ,1,-9.95,-8.92,14,2
245,32.csv : ,1,-9.96,-9.22,6,40
363,426.csv : ,1,-9.97,-9.80,9,11
343,408.csv : ,1,-9.97,-9.55,19,18
305,374.csv : ,1,-9.98,-9.54,29,25
300,37.csv : ,1,-9.98,-9.96,2,32
132,218.csv : ,1,-9.98,-9.16,13,5
241,316.csv : ,1,-9.99,-9.04,9,29
53,147.csv : ,1,-9.99,-9.41,16,27
405,464.csv : ,1,-9.99,-9.88,48,31
