Ligand,Affinity
Lig11,-5.8594861
Lig11,-5.77917433
Lig11,-5.64782715
Lig11,-5.61133528
Lig11,-5.59588623
Lig11,-5.52294683
Lig11,-5.5211401
Lig11,-5.48886395
Lig11,-5.44123602
Lig11,-5.35190821
Lig11,-5.34710836
Lig11,-5.28495502
Lig11,-5.26009607
Lig11,-5.23960018
Lig11,-5.22644997
Lig11,-5.20969915
Lig11,-5.17456007
Lig11,-5.1677494
Lig11,-5.04431152
Lig11,-5.03778982
Lig11,-4.98138571
Lig120,-5.45713615
Lig120,-4.7933836
Lig120,-4.77689791
Lig120,-4.45782185
Lig120,-4.33909655
Lig120,-4.23163986
Lig120,-4.17592812
Lig120,-4.04854822
Lig120,-3.90588999
Lig120,-3.90570045
Lig120,-3.82379484
Lig120,-3.7033329
Lig120,-3.68206954
Lig120,-3.58354163
Lig120,-3.49878049
Lig120,-3.41852784
Lig120,-3.1778934
Lig120,-3.1333158
Lig120,-3.1196456
Lig120,-3.06140471
Lig120,-3.05927587
Lig120,-3.04461265
Lig120,-2.99560595
Lig120,-2.95336294
Lig120,-2.95284796
Lig120,-2.94120789
Lig120,-2.93744016
Lig120,-2.89627433
Lig120,-2.88260317
Lig120,-2.87747812
Lig120,-2.82695818
Lig120,-2.79887342
Lig120,-2.78649426
Lig120,-2.76075029
Lig120,-2.72211027
Lig120,-2.70774961
Lig120,-2.68932962
Lig120,-2.68606234
Lig120,-2.63185382
Lig120,-2.61621284
Lig120,-2.61239576
Lig120,-2.60611129
Lig120,-2.59976578
Lig120,-2.58929658
Lig120,-2.55989122
Lig120,-2.55757642
Lig120,-2.53331661
Lig120,-2.50346923
Lig121,-5.09019899
Lig121,-4.92666435
Lig121,-4.72430372
Lig121,-4.67417717
Lig121,-4.13841963
Lig121,-4.07810688
Lig121,-4.03587103
Lig121,-4.00240517
Lig121,-3.95919943
Lig121,-3.87011027
Lig121,-3.8550446
Lig121,-3.8530395
Lig121,-3.73254085
Lig121,-3.71712995
Lig121,-3.68973923
Lig121,-3.67015386
Lig121,-3.64840293
Lig121,-3.57787514
Lig121,-3.54543996
Lig121,-3.5164783
Lig121,-3.47131133
Lig121,-3.45934868
Lig121,-3.45081639
Lig121,-3.41381764
Lig121,-3.38113785
Lig121,-3.36375427
Lig121,-3.31879282
Lig121,-3.27575612
Lig121,-3.17311096
Lig121,-3.15833879
Lig121,-3.15325427
Lig121,-3.14073777
Lig121,-3.12263131
Lig121,-3.04314041
Lig121,-3.0296371
Lig121,-3.01037574
Lig121,-3.00562096
Lig121,-2.99964738
Lig121,-2.99860334
Lig121,-2.9731648
Lig121,-2.97201419
Lig121,-2.97080207
